[46, 45]
[47, 45]
[48, 45]
[49, 45]
[50, 45]
[51, 45]
[52, 45]
[53, 45]
[54, 45]
[55, 45]
[56, 45]
[57, 45]
[58, 45]
[59, 45]
[60, 45]
[61, 45]
[62, 45]
[63, 45]
[64, 45]
[65, 45]
[66, 45]
[67, 45]
[68, 45]
[69, 45]
[70, 45]
[71, 45]
[72, 45]
[73, 45]
[74, 45]
[75, 45]
[76, 45]
[77, 45]
[78, 45]
[79, 45]
[80, 45]
[81, 45]
[82, 45]
[83, 45]
[84, 45]
[85, 45]
[86, 45]
[87, 45]
[88, 45]
[89, 45]
[90, 45]
[91, 45]
[92, 45]
[93, 45]
[94, 45]
[95, 45]
[96, 45]
[97, 45]
[98, 45]
[99, 45]
[100, 45]
[101, 45]
[102, 45]
[103, 45]
[104, 45]
[105, 45]
[106, 45]
[107, 45]
[108, 45]
[109, 45]
[110, 45]
[111, 45]
[111, 46]
[112, 46]
[112, 47]
[113, 47]
[113, 48]
[114, 48]
[114, 49]
[115, 49]
[115, 50]
[116, 50]
[116, 51]
[117, 51]
[117, 52]
[118, 52]
[118, 53]
[119, 53]
[119, 54]
[120, 54]
[120, 55]
[121, 55]
[121, 56]
[122, 56]
[122, 57]
[123, 57]
[123, 58]
[124, 58]
[124, 59]
[125, 59]
[125, 60]
[126, 60]
[126, 61]
[127, 61]
[127, 62]
[128, 62]
[128, 63]
[129, 63]
[129, 64]
[130, 64]
[130, 65]
[131, 65]
[131, 66]
[132, 66]
[132, 67]
